price,status,area,rate_per_sqft,property_type,locality,builder_name,rera_approval,bhk_count,society,company_name,flat_type
10700000.0,under construction,1138,9450,2 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,home,True,2, M3M Antalya Hills Phase I,M3M,apartment
14400000.0,under construction,1528,9450,3 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,Property In Gurgaon,True,3, M3M Antalya Hills Phase I,M3M,apartment
10700000.0,under construction,1138,9450,2 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,properties for sale in Gurgaon,True,2, M3M Antalya Hills Phase I,M3M,apartment
40000000.0,ready to move,4500,8888,4 BHK Independent Floor,Sector 57,MM India Pvt Ltd,False,4,Outside Socity,Outside,plot
24000000.0,under construction,1800,13333,3 BHK Independent Floor in Anant Raj Estate Plots,Sector 63,MM India Pvt Ltd,True,3, Anant Raj Estate Plots,Anant,floor
63800000.0,ready to move,2282,28000,3 BHK Apartment in DLF Park Place,Sector 54,MM India Pvt Ltd,False,3, DLF Park Place,DLF,apartment
4500000.0,ready to move,920,4891,3 BHK Apartment,Sector 3A,seller,False,3,Outside Socity,Outside,plot
4500000.0,ready to move,1000,4500,2 BHK Apartment,Sector 69,seller,False,2,Outside Socity,Outside,plot
9000000.0,ready to move,1250,7200,3 BHK Independent Floor in BPTP Astaire Garden Plots,Sector 70A,seller,False,3, BPTP Astaire Garden Plots,BPTP,floor
74900000.0,under construction,3800,19736,4 BHK Apartment in DLF The Arbour,Sector 63,seller,True,4, DLF The Arbour,DLF,apartment
19700000.0,under construction,2390,8250,4 BHK Apartment in Navraj The Antalya,Sector 37D,seller,True,4, Navraj The Antalya,Navraj,apartment
80100000.0,under construction,3956,20253,4 BHK Apartment in DLF The Arbour,Sector 63,seller,True,4, DLF The Arbour,DLF,apartment
13700000.000000002,under construction,1450,9448,3 BHK Apartment in SS Cendana Residence,Sector 83,Superb Solution Providers Pvt Ltd,True,3, SS Cendana Residence,SS,apartment
22000000.0,ready to move,2450,8979,4 BHK Independent Floor,Sector 51,Sharma realtors solution,False,4,Outside Socity,Outside,plot
15000000.0,under construction,1205,12448,3 BHK Apartment in Signature Global City 81 Phase 2,Sector 81,SM Realty,True,3, Signature Global City 81 Phase 2,Signature,apartment
44000000.0,under construction,1677,26237,3 BHK Apartment in Adani Brahma Samsara Vilasa,Sector 63,Impex Estates India Private Limited,True,3, Adani Brahma Samsara Vilasa,Adani,apartment
12000000.0,ready to move,1430,8391,3 BHK Apartment in Mapsko Casa Bella,Sector 82,Bricksblenders,False,3, Mapsko Casa Bella,Mapsko,apartment
52500000.0,ready to move,2905,18072,4 BHK Apartment in Tata Primanti,Sector 72,Corvous India Infratech Pvt Ltd,False,4, Tata Primanti,Tata,apartment
4600000.0,ready to move,720,6388,1 BHK Apartment in Ameya Sapphire Eighty Three,Sector 83,Ayuni Direct Realty,False,1, Ameya Sapphire Eighty Three,Ameya,apartment
30000000.0,ready to move,2082,14409,3 BHK Apartment in Omaxe The Nile,Sector 49,Sagar,False,3, Omaxe The Nile,Omaxe,apartment
9900000.0,ready to move,1366,7247,2 BHK Apartment in M3M Woodshire,Sector 107,home,False,2, M3M Woodshire,M3M,apartment
45300000.0,ready to move,3969,11413,4 BHK Independent Floor in Unitown Trehan Luxury Floor 63,Sector 63,Property In Gurgaon,False,4, Unitown Trehan Luxury Floor 63,Unitown,floor
120000000.0,ready to move,3500,34285,4 BHK Apartment in DLF The Belaire,Sector 54,properties for sale in Gurgaon,False,4, DLF The Belaire,DLF,apartment
35500000.0,ready to move,2450,14489,3 BHK Apartment in Puri Emerald Bay,Sector 104,Bhoomi Realtors,False,3, Puri Emerald Bay,Puri,apartment
10500000.0,ready to move,1000,10500,2 BHK Independent Floor in Signature Global City 92,Sector 92,Keshri Real Tech,False,2, Signature Global City 92,Signature,floor
19000000.0,ready to move,2365,8033,4 BHK Apartment in Pareena Express Heights,Sector 99A,ANGEL BRICKS,False,4, Pareena Express Heights,Pareena,apartment
37000000.0,ready to move,1975,18734,4 BHK Apartment in Emaar Emerald Floors Premier,Sector 65,GK Realtors,False,4, Emaar Emerald Floors Premier,Emaar,apartment
55000000.0,under construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Yoga reality,True,4, Godrej Aristocrat,Godrej,apartment
55000000.0,under construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Gupta Realtors,True,4, Godrej Aristocrat,Godrej,apartment
20000000.0,ready to move,2000,10000,3 BHK Independent Floor,Sector 46,Homes solution,False,3,Outside Socity,Outside,plot
28000000.0,under construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,ETHOS PRO REALTORS,True,3, M3M Golf Hills Phase 1,M3M,apartment
